OBJECTID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,DCGIS_TRACT00PLY_AREA,DCGIS_TRACT00PLY_LEN,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,18.04,18.4,0.23232,17889.11846,4156,2000 Tract 18.04,1774,932,0.22425,3224,0.77574,-81,208,-697,11,43,541,527,-1.912,4237,4156,-81,-0.01911,95,2897,3,35,1,16,1003,578,0.32581,18.4, ,210,284,44,71,182,211,494,0,0,0,0,0,0,128,644,69985531,35168.6085,26205.5,0,0,65111551,29408,Tract00Ply_1,,,,,0,0
2,92.04,92.4,0.10855,21391.06403,2322,2000 Tract 92.04,1089,627,0.27002,1695,0.72997,-107,10,-144,11,6,57,30,-4.405,2429,2322,-107,-0.04405,29,2163,7,8,0,0,101,126,0.1157,92.4, ,60,81,22,21,173,114,141,0,0,0,0,0,0,81,537,18104527,27265.8539,22258.5,0,0,16019683,26279,Tract00Ply_3,,,,,0,0
3,40.01,40.1,0.10548,32935.15358,3474,2000 Tract 40.01,2346,163,0.04691,3311,0.95308,449,353,19,12,105,-23,40,14.843,3025,3474,449,0.14842,2779,171,6,151,2,13,289,1028,0.43819,40.1, ,85,335,7,10,26,26,420,0,0,0,0,0,0,368,1489,186187073,100424.527,59553.5,0,0,178056584,72633.5,Tract00Ply_4,,,,,0,0
4,3,3,0.40656,14034.82881,5706,2000 Tract 3,2784,489,0.08569,5217,0.9143,-32,-161,3,20,191,40,74,-0.558,5738,5706,-32,-0.00557,4727,170,7,327,2,17,324,1331,0.47808,3.1,Number Change,261,506,12,35,52,67,767,1,1,0,188876,188876,0,674,1177,269137973,104560.2071,52394,0,0,271067501,64574,Tract00Ply_5,,,,,0,0
5,37,37,0.11311,44116.34692,4990,2000 Tract 37,1792,1163,0.23306,3827,0.76693,-450,679,-1084,22,60,437,53,-8.272,5440,4990,-450,-0.08272,428,2729,13,93,0,20,1629,161,0.08984,37, ,174,138,41,76,309,140,312,0,0,0,0,0,0,220,694,64438008,36099.7244,26428,0,0,58389340,30778.5,Tract00Ply_69,,,,,0,0
6,33.01,33.1,0.16974,15947.92035,2707,2000 Tract 33.01,1030,547,0.20206,2160,0.79793,-394,-12,-375,12,13,32,29,-12.706,3101,2707,-394,-0.12705,154,2400,2,14,0,6,84,647,0.62815,33.1, ,77,125,19,51,86,150,202,0,0,0,0,0,0,166,356,55946734,50814.4723,36331,0,0,53007004,44326,Tract00Ply_70,,,,,0,0
7,38,38,0.13738,34342.69908,4718,2000 Tract 38,2445,790,0.16744,3928,0.83255,217,601,-641,36,94,375,350,4.821,4501,4718,217,0.04821,1652,1467,20,142,2,10,1307,536,0.21922,38, ,168,214,35,49,148,102,382,17,0,17,731150,0,731150,396,1333,137575702,58767.9205,39346,0,0,130491775,46043.5,Tract00Ply_71,,,,,0,0
8,7.02,7.2,0.11734,28344.9804,3326,2000 Tract 7.02,2296,192,0.05772,3134,0.94227,6,-112,61,29,72,36,116,0.181,3320,3326,6,0.0018,2325,204,11,274,2,24,358,462,0.20121,7.2, ,90,229,9,21,40,42,319,0,0,0,0,0,0,317,1548,93996457,53165.4169,45345,0,0,90484459,53161,Tract00Ply_72,,,,,0,0
9,16,16,1.06384,3788.16363,4030,2000 Tract 16,1633,722,0.17915,3308,0.82084,-455,-208,-213,39,-6,54,54,-10.145,4485,4030,-455,-0.10144,844,2905,7,32,0,23,130,1464,0.8965,16, ,280,597,17,48,69,151,877,2,2,0,400000,400000,0,87,384,182910896,107468.2115,72183,0,0,175248188,80973,Tract00Ply_73,,,,,0,0
10,15,15,1.83801,3073.43268,5649,2000 Tract 15,2222,1390,0.24606,4259,0.75393,79,22,83,18,66,45,41,1.418,5570,5649,79,0.01418,4564,631,4,119,2,25,185,1953,0.87893,15, ,693,724,11,23,75,67,1417,1,1,0,200000,200000,0,121,508,376818365,163691.7311,107546,0,0,390373535,125548.5,Tract00Ply_74,,,,,0,0
11,17.01,17.1,0.23817,12461.68703,2968,2000 Tract 17.01,1240,593,0.19979,2375,0.8002,-19,50,-142,14,6,173,172,-0.636,2987,2968,-19,-0.00636,274,2260,5,56,1,15,292,622,0.50161,17.1, ,114,214,23,47,106,160,328,1,1,0,44000,44000,0,108,468,54513869,44392.4015,32512.5,0,0,49959183,35895,Tract00Ply_75,,,,,0,0
12,17.02,17.2,0.36711,6101.71338,2240,2000 Tract 17.02,975,380,0.16964,1860,0.83035,-364,-47,-297,25,1,40,32,-13.978,2604,2240,-364,-0.13978,391,1625,6,24,0,3,128,681,0.69846,17.2, ,106,234,18,26,58,89,340,0,0,0,0,0,0,86,358,64355826,55383.6713,42923.5,0,0,61951765,48509,Tract00Ply_76,,,,,0,0
13,18.01,18.1,0.18498,3324.68375,615,2000 Tract 18.01,9,4,0.0065,611,0.99349,-150,-46,-109,2,23,-3,-8,-19.608,765,615,-150,-0.19607,295,205,4,30,1,1,68,0,0,18.1, ,3,5,0,0,0,0,8,1,1,0,210000,210000,0,0,1,,,,0,0,,,Tract00Ply_77,,,,,0,0
14,18.03,18.3,0.44604,6873.82298,3066,2000 Tract 18.03,1504,591,0.19275,2475,0.80724,323,202,-149,29,42,461,344,11.775,2743,3066,323,0.11775,171,2104,6,49,1,9,646,306,0.20345,18.3, ,181,211,29,59,114,125,392,0,0,0,0,0,0,82,703,60905198,37619.0229,26874,0,0,56194070,30926.5,Tract00Ply_78,,,,,0,0
15,54.01,54.1,0.11526,12684.36578,1462,2000 Tract 54.01,951,13,0.00889,1449,0.9911,374,289,2,5,109,29,14,34.375,1088,1462,374,0.34375,1066,73,3,166,8,2,110,143,0.15036,54.1, ,6,64,1,10,2,8,70,0,0,0,0,0,0,154,706,49092416,96071.2642,48858,0,0,67320896,62070,Tract00Ply_79,,,,,0,0
16,54.02,54.2,0.11664,8.57339,1,2000 Tract 54.02,1,0,0,1,1,-1,-2,0,0,1,0,0,-50,2,1,-1,-0.5,0,0,0,1,0,0,0,0,0,54.2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11665895,220111.2264,46956,0,0,7656979,58060,Tract00Ply_80,,,,,0,0
17,40.02,40.2,0.07571,36692.64298,2778,2000 Tract 40.02,1760,178,0.06407,2600,0.93592,-238,22,-287,11,120,-74,-6,-7.891,3016,2778,-238,-0.07891,1841,317,7,215,0,9,317,620,0.35227,40.2, ,73,181,6,15,21,34,254,0,0,0,0,0,0,353,1077,126332228,74400.6054,48403.5,0,0,127183432,59919.5,Tract00Ply_6,,,,,0,0
18,41,41,0.30926,8310.15974,2570,2000 Tract 41,1585,159,0.06186,2411,0.93813,-229,-172,-20,7,32,-33,-25,-8.181,2799,2570,-229,-0.08181,2083,95,2,162,4,7,175,771,0.48643,41, ,79,346,3,9,3,21,425,0,0,0,0,0,0,193,931,237514138,191081.366,66980,0,0,268324497,84529,Tract00Ply_7,,,,,0,0
19,87.02,87.2,0.19534,9808.53896,1916,2000 Tract 87.02,726,460,0.24008,1456,0.75991,-179,12,-252,33,6,29,66,-8.544,2095,1916,-179,-0.08544,42,1743,13,5,0,11,71,235,0.32369,87.2, ,50,84,12,45,100,92,134,0,0,0,0,0,0,58,285,17028955,28287.3007,22572,0,0,15630713,26436,Tract00Ply_8,,,,,0,0
20,44,44,0.20143,12853.10033,2589,2000 Tract 44,1144,403,0.15565,2186,0.84434,-359,349,-705,12,32,-8,39,-20.561,1746,2589,-359,-0.12177,634,1502,7,50,0,10,325,515,0.45017,44,Tracts Combined,71,132,14,42,70,102,203,3,0,3,100000,0,100000,255,458,125675000,69819.4444,51706.5,0,0,122685337,63285,Tract00Ply_9,,,,,0,0
21,43,43,0.09136,36011.38354,3290,2000 Tract 43,1755,517,0.15714,2773,0.84285,7,347,-449,30,50,244,188,0.213,3283,3290,7,0.00213,1107,1266,11,67,7,9,732,434,0.24729,43, ,101,138,26,39,104,83,239,0,0,0,0,0,0,279,985,92674636,55065.1432,40148,0,0,97116292,46407,Tract00Ply_10,,,,,0,0
22,8.02,8.2,0.92564,3031.4161,2806,2000 Tract 8.02,1348,347,0.12366,2459,0.87633,115,27,-3,7,112,0,24,4.274,2691,2806,115,0.04273,2304,87,3,196,0,10,163,749,0.55563,8.2, ,168,273,11,14,41,43,441,1,1,0,275000,275000,0,248,550,151191673,124437.5909,63914,0,0,165931018,76966,Tract00Ply_11,,,,,0,0
23,42.01,42.1,0.07896,42958.45998,3392,2000 Tract 42.01,2160,163,0.04805,3229,0.95194,-272,335,-435,28,68,-252,-135,-7.424,3664,3392,-272,-0.07423,2368,465,8,140,2,13,297,749,0.34675,42.1, ,50,176,8,33,27,41,226,0,0,0,0,0,0,530,1295,134578653,70239.3805,49433,0,0,144823411,59536,Tract00Ply_12,,,,,0,0
24,95.05,95.5,0.40721,6559.26917,2671,2000 Tract 95.05,1155,452,0.16922,2219,0.83077,-461,-66,-384,14,-5,23,36,-14.719,3132,2671,-461,-0.14719,65,2486,2,8,0,5,62,949,0.82164,95.5, ,85,298,14,43,70,207,383,0,0,0,0,0,0,32,406,57755232,43588.8543,38622,0,0,54462286,43489,Tract00Ply_13,,,,,0,0
25,27.02,27.2,0.18846,32112.91521,6052,2000 Tract 27.02,2553,914,0.15102,5138,0.84897,-190,496,-696,35,320,106,-47,-3.044,6242,6052,-190,-0.03043,2258,1145,23,391,1,17,2077,825,0.32314,27.2, ,303,351,52,126,130,131,654,0,0,0,0,0,0,509,951,143696109,55225.2533,34297.5,0,0,139239788,41950,Tract00Ply_56,,,,,0,0
26,19.02,19.2,0.33895,6083.49314,2062,2000 Tract 19.02,816,347,0.16828,1715,0.83171,-448,6,-456,22,-1,32,50,-17.849,2510,2062,-448,-0.17848,101,1833,5,7,0,1,63,670,0.82107,19.2, ,79,198,7,44,49,144,277,0,0,0,0,0,0,58,237,45614951,50347.628,37192.5,0,0,41354905,44719.5,Tract00Ply_14,,,,,0,0
27,19.01,19.1,0.29789,13256.57122,3949,2000 Tract 19.01,1511,795,0.20131,3154,0.79868,-434,45,-509,24,1,110,102,-9.902,4383,3949,-434,-0.09901,80,3547,9,9,1,0,243,1212,0.80211,19.1, ,154,347,20,61,123,291,501,0,0,0,0,0,0,73,442,75554690,41062.3315,31852,0,0,67590553,37368,Tract00Ply_15,,,,,0,0
28,11,11,0.65575,6752.57339,4428,2000 Tract 11,1854,809,0.1827,3619,0.81729,13,-172,120,17,104,11,78,0.294,4415,4428,13,0.00294,3601,248,2,234,2,30,200,1412,0.76159,11, ,395,494,13,18,55,56,889,4,4,0,619600,619600,0,202,621,294184386,141231.1023,66978,0,0,290787961,81817,Tract00Ply_16,,,,,0,0
29,14.02,14.2,0.34561,11356.73158,3925,2000 Tract 14.02,1232,464,0.11821,3461,0.88178,1062,727,272,33,59,55,56,37.094,2863,3925,1062,0.37093,2948,550,11,141,0,11,206,833,0.67613,14.2, ,238,293,4,21,32,42,531,0,0,0,0,0,0,102,500,153399794,119284.4432,75968,0,0,151163181,88951,Tract00Ply_17,,,,,0,0
30,20.01,20.1,0.24204,10060.32061,2435,2000 Tract 20.01,1028,435,0.17864,2000,0.82135,10,66,-181,16,4,267,207,0.412,2425,2435,10,0.00412,358,1485,3,33,2,12,496,342,0.33268,20.1, ,124,141,18,38,67,111,265,1,1,0,350000,350000,0,112,417,50719222,50769.992,30117,0,0,48025140,33901,Tract00Ply_18,,,,,0,0
31,13.01,13.1,1.11128,3371.78749,3747,2000 Tract 13.01,2048,427,0.11395,3320,0.88604,54,-149,41,17,200,56,59,1.462,3693,3747,54,0.01462,2893,258,1,288,3,8,208,642,0.31347,13.1, ,218,431,10,25,32,51,649,4,4,0,926200,926200,0,251,1030,235868221,134858.9028,55496,0,0,237384666,66859,Tract00Ply_19,,,,,0,0
32,95.07,95.7,0.11806,12984.92292,1533,2000 Tract 95.07,648,283,0.1846,1250,0.81539,-153,-12,-155,0,11,0,17,-9.075,1686,1533,-153,-0.09074,9,1480,1,11,0,9,10,526,0.81172,95.7, ,56,165,9,19,54,117,221,0,0,0,0,0,0,24,204,29914772,41490.6685,36975,0,0,27840753,41171,Tract00Ply_20,,,,,0,0
33,26,26,0.8399,2600.30956,2184,2000 Tract 26,964,355,0.16254,1829,0.83745,-108,23,-127,17,5,25,38,-4.712,2292,2184,-108,-0.04712,664,1339,5,40,0,15,75,691,0.7168,26, ,154,252,6,23,24,80,406,1,1,0,295000,295000,0,88,337,103181489,106482.4448,64022,0,0,96999438,71249.5,Tract00Ply_21,,,,,0,0
34,20.02,20.2,0.32785,11532.71313,3781,2000 Tract 20.02,1278,810,0.21422,2971,0.78577,-211,119,-513,36,25,404,273,-5.286,3992,3781,-211,-0.05285,325,2697,14,40,2,22,583,862,0.67449,20.2, ,171,246,27,62,83,210,417,0,0,0,0,0,0,113,366,76218718,47282.0831,31811,0,0,68709644,36198,Tract00Ply_22,,,,,0,0
35,10.01,10.1,0.95831,6325.71923,6062,2000 Tract 10.01,2548,1242,0.20488,4820,0.79511,-258,-172,-42,24,31,-33,27,-4.082,6320,6062,-258,-0.04082,5216,193,10,217,4,17,323,1988,0.78021,10.1, ,658,727,20,36,57,77,1385,0,0,0,0,0,0,247,726,356721134,129528.3711,83217,0,0,371263969,97920,Tract00Ply_24,,,,,0,0
36,21.02,21.2,0.28025,16524.53167,4631,2000 Tract 21.02,2000,962,0.20773,3669,0.79226,-458,30,-633,37,5,202,223,-9,5089,4631,-458,-0.08999,74,4114,14,18,2,4,345,1149,0.5745,21.2, ,179,335,42,74,188,315,514,0,0,0,0,0,0,123,744,79627948,37560.3528,30099,0,0,73303270,34322,Tract00Ply_25,,,,,0,0
37,95.08,95.8,0.34477,8295.38533,2860,2000 Tract 95.08,1309,496,0.17342,2364,0.82657,-221,-7,-231,21,14,27,29,-7.173,3081,2860,-221,-0.07172,25,2726,4,13,0,10,41,761,0.58135,95.8, ,72,317,20,38,104,206,389,0,0,0,0,0,0,55,497,55009534,41174.8009,34821.5,0,0,50986709,38832,Tract00Ply_26,,,,,0,0
38,12,12,0.46969,10338.73406,4856,2000 Tract 12,2567,623,0.12829,4233,0.8717,30,-122,58,28,163,-31,45,0.622,4826,4856,30,0.00621,3743,275,5,332,6,15,370,1272,0.49552,12, ,312,470,17,33,66,67,782,0,0,0,0,0,0,409,1193,242970327,97461.0217,58594,0,0,265305808,71337,Tract00Ply_27,,,,,0,0
39,95.03,95.3,0.55668,5507.65251,3066,2000 Tract 95.03,1207,596,0.19439,2470,0.8056,-154,-99,-28,19,9,-8,10,-4.783,3220,3066,-154,-0.04782,299,2660,3,18,1,3,37,1115,0.92377,95.3, ,132,340,14,40,82,188,472,0,0,0,0,0,0,67,344,77208364,54564.2148,44583,0,0,70948127,49271.5,Tract00Ply_28,,,,,0,0
40,95.01,95.1,0.63146,8336.23666,5264,2000 Tract 95.01,1767,666,0.12651,4598,0.87348,-605,-303,-378,12,53,27,91,-10.308,5869,5264,-605,-0.10308,1757,3107,15,111,0,21,197,306,0.17317,95.1, ,114,192,46,54,184,176,306,0,0,0,0,0,0,152,849,47321396,33091.8853,28889,0,0,41265780,32654.5,Tract00Ply_29,,,,,0,0
41,95.09,95.9,0.24838,11667.60609,2898,2000 Tract 95.09,1247,540,0.18633,2358,0.81366,-373,-13,-322,25,-7,-6,-2,-11.403,3271,2898,-373,-0.11403,47,2775,9,5,0,0,14,1151,0.92301,95.9, ,120,336,11,53,86,203,456,0,0,0,0,0,0,42,396,57265457,42735.4157,37888.5,0,0,53670022,43058,Tract00Ply_30,,,,,0,0
42,22.02,22.2,0.27864,10813.23572,3013,2000 Tract 22.02,1259,720,0.23896,2293,0.76103,-284,6,-358,36,8,84,111,-8.614,3297,3013,-284,-0.08613,29,2677,19,8,0,6,210,588,0.46703,22.2, ,89,174,36,58,154,188,263,0,0,0,0,0,0,71,489,45507061,34062.1714,28066,0,0,40472018,32376,Tract00Ply_31,,,,,0,0
43,22.01,22.1,0.16027,21869.34548,3505,2000 Tract 22.01,1135,824,0.23509,2681,0.7649,-147,126,-393,46,22,273,178,-4.025,3652,3505,-147,-0.04025,29,2938,2,14,0,4,456,905,0.79735,22.1, ,132,218,27,58,98,269,350,0,0,0,0,0,0,61,272,53943913,36179.6868,28487,0,0,49226475,32345,Tract00Ply_32,,,,,0,0
44,9.01,9.1,1.16481,6188.13369,7208,2000 Tract 9.01,1465,948,0.13152,6260,0.86847,364,-80,131,14,36,-6,383,5.319,6844,7208,364,0.05318,5655,389,13,323,7,310,410,1301,0.88805,9.1, ,468,571,11,11,36,29,1039,10,10,0,4215774,4215774,0,95,244,477654010,293399.269,105399,0,0,491999497,139934,Tract00Ply_33,,,,,0,0
45,13.02,13.2,0.61848,10176.56189,6294,2000 Tract 13.02,4632,341,0.05417,5953,0.94582,318,273,-6,20,145,-9,54,5.321,5976,6294,318,0.05321,4995,368,7,360,1,27,410,1420,0.30656,13.2, ,182,561,11,21,27,69,743,169,1,168,17600000,600000,17000000,315,3446,288845784,78299.2095,56676,0,0,294212897,67927,Tract00Ply_34,,,,,0,0
46,25.01,25.1,0.20982,11400.24783,2392,2000 Tract 25.01,885,510,0.21321,1882,0.78678,3,112,-288,27,18,292,247,0.126,2389,2392,3,0.00125,185,1605,1,15,0,8,534,542,0.61242,25.1, ,120,126,21,42,52,128,246,0,0,0,0,0,0,75,321,48061278,43298.4486,27553.5,0,0,45509375,31890.5,Tract00Ply_35,,,,,0,0
47,94,94,0.62604,6654.52687,4166,2000 Tract 94,1686,792,0.19011,3374,0.80988,-461,-57,-407,33,21,65,54,-9.963,4627,4166,-461,-0.09963,128,3816,5,23,0,10,119,1356,0.80427,94.1,Number Change,170,431,19,52,115,255,601,0,0,0,0,0,0,99,545,88449285,48732.3884,41013,0,0,80314310,47073,Tract00Ply_36,,,,,0,0
48,23.01,23.1,0.14918,20076.41775,2995,2000 Tract 23.01,1048,673,0.2247,2322,0.77529,-348,79,-518,32,20,164,112,-10.41,3343,2995,-348,-0.10409,43,2620,9,13,3,12,244,760,0.72519,23.1, ,85,196,18,57,108,228,281,0,0,0,0,0,0,64,292,47301412,39221.7347,30733,0,0,43536452,35158,Tract00Ply_37,,,,,0,0
49,24,24,0.21479,16667.44262,3580,2000 Tract 24,1252,840,0.23463,2740,0.76536,-305,102,-533,22,1,247,209,-7.851,3885,3580,-305,-0.0785,103,2934,3,14,1,9,452,792,0.63258,24, ,134,192,29,54,112,233,326,0,0,0,0,0,0,88,410,52819845,35473.368,26925,0,0,48714675,32424.5,Tract00Ply_38,,,,,0,0
50,95.04,95.4,0.39379,8514.69057,3353,2000 Tract 95.04,1312,601,0.17924,2752,0.82075,126,-179,280,22,34,21,41,3.905,3227,3353,126,0.03904,562,2552,3,81,1,4,102,708,0.53963,95.4, ,123,209,26,37,137,157,332,0,0,0,0,0,0,102,521,59146507,44740.1717,35486.5,0,0,55634768,41637.5,Tract00Ply_39,,,,,0,0
51,10.02,10.2,0.34368,10082.05307,3465,2000 Tract 10.02,2281,222,0.06406,3243,0.93593,-69,-165,-17,17,141,41,99,-1.952,3534,3465,-69,-0.01952,2415,213,9,354,2,14,345,692,0.30337,10.2, ,93,294,11,16,55,57,387,0,0,0,0,0,0,324,1431,103611998,81777.4254,59945,0,0,103243527,72738,Tract00Ply_40,,,,,0,0
52,23.02,23.2,0.79006,1702.40235,1345,2000 Tract 23.02,567,138,0.1026,1207,0.89739,-3072,-2126,-914,3,-18,-78,16,-69.549,4417,1345,-3072,-0.69549,387,841,9,20,0,4,52,166,0.29276,23.2, ,31,39,8,16,30,59,70,0,0,0,0,0,0,146,238,26493894,36392.7115,23942,0,0,24379701,27481.5,Tract00Ply_41,,,,,0,0
53,6,6,0.55703,8830.76315,4919,2000 Tract 6,2144,638,0.1297,4281,0.87029,-41,-256,240,14,63,-97,8,-0.827,4960,4919,-41,-0.00826,3669,623,13,176,0,21,331,1375,0.64132,6, ,328,440,8,13,33,58,768,1,1,0,537000,537000,0,261,1003,320496933,149764.922,64058,0,0,372544504,77987,Tract00Ply_42,,,,,0,0
54,25.02,25.2,0.23339,23505.72004,5486,2000 Tract 25.02,1920,1363,0.24845,4123,0.75154,640,513,-947,48,46,1425,1268,13.207,4846,5486,640,0.13206,165,3026,14,38,1,17,2130,737,0.38385,25.2, ,295,247,47,87,172,255,542,0,0,0,0,0,0,157,660,78494728,33134.119,25160,0,0,70487737,29268.5,Tract00Ply_43,,,,,0,0
55,9.02,9.2,0.82807,2382.64881,1973,2000 Tract 9.02,837,403,0.20425,1570,0.79574,18,4,23,5,7,21,26,0.921,1955,1973,18,0.0092,1684,95,1,62,0,0,89,689,0.82317,9.2, ,190,244,13,10,32,29,434,3,3,0,650000,650000,0,91,228,151454009,190268.8555,90259,0,0,155484137,108978,Tract00Ply_44,,,,,0,0
56,27.01,27.1,0.17623,32582.4207,5742,2000 Tract 27.01,2650,856,0.14907,4886,0.85092,792,408,-123,74,182,597,679,16,4950,5742,792,0.16,1747,1670,15,401,2,29,1628,585,0.22075,27.1, ,283,329,45,102,118,130,612,0,0,0,0,0,0,355,1288,116129242,49144.8337,33215,0,0,105664124,39605.5,Tract00Ply_45,,,,,0,0
57,8.01,8.1,1.16949,5746.94953,6721,2000 Tract 8.01,3280,776,0.11545,5945,0.88454,793,434,111,11,294,183,126,13.377,5928,6721,793,0.13377,5339,283,4,390,4,32,502,1979,0.60335,8.1, ,377,804,9,26,69,74,1181,1,1,0,3000000,3000000,0,284,1637,405283470,198182.6259,80825,0,0,396165442,94832,Tract00Ply_46,,,,,0,0
58,28.01,28.1,0.06637,54678.31852,3629,2000 Tract 28.01,1400,942,0.25957,2687,0.74042,206,315,-328,44,-7,382,460,6.018,3423,3629,206,0.06018,197,1814,15,80,3,13,1414,251,0.17928,28.1, ,171,134,37,78,186,129,305,0,0,0,0,0,0,132,533,45508896,30728.4916,22768,0,0,39540059,26392,Tract00Ply_47,,,,,0,0
59,32,32,0.17074,26238.72555,4480,2000 Tract 32,1554,1202,0.2683,3278,0.73169,-381,203,-772,41,6,350,293,-7.838,4861,4480,-381,-0.07837,69,3628,25,9,0,5,670,864,0.55598,32, ,169,208,31,72,235,280,377,0,0,0,0,0,0,123,436,59583903,30602.9291,24249,0,0,53901911,28908,Tract00Ply_48,,,,,0,0
60,29,29,0.11664,35913.92318,4189,2000 Tract 29,1394,1059,0.2528,3130,0.74719,98,448,-1084,55,53,1001,961,2.396,4091,4189,98,0.02395,177,2227,12,46,0,15,1610,561,0.40243,29, ,206,149,52,65,130,164,355,0,0,0,0,0,0,193,435,60110281,36652.6104,26183,0,0,54802450,30374,Tract00Ply_49,,,,,0,0
61,31,31,0.11381,24207.01169,2755,2000 Tract 31,901,729,0.2646,2026,0.73539,-154,218,-687,8,16,477,374,-5.294,2909,2755,-154,-0.05293,82,1795,6,15,1,8,824,471,0.52275,31, ,134,118,25,49,89,146,252,0,0,0,0,0,0,80,260,39334586,30350.7608,24979,0,0,35744225,29167.5,Tract00Ply_50,,,,,0,0
62,91.01,91.1,1.18029,4089.67288,4827,2000 Tract 91.01,1713,982,0.20343,3845,0.79656,-240,-80,-150,19,27,11,-4,-6.641,3614,4827,-240,-0.04736,117,4517,18,38,0,10,94,1220,0.7122,90.2,Tracts Combined,172,344,25,78,137,283,516,0,0,0,0,0,0,110,564,77884372,41427.8574,33600.5,0,0,69284462,38355.5,Tract00Ply_51,,,,,0,0
63,93.01,93.1,0.42707,7738.77819,3305,2000 Tract 93.01,1141,666,0.20151,2639,0.79848,-277,-50,-252,41,-8,59,87,-7.733,3582,3305,-277,-0.07733,611,2352,14,54,1,18,187,931,0.81595,93.1, ,147,255,18,43,92,180,402,0,0,0,0,0,0,110,296,66231195,50137.165,38542,0,0,61756468,45913,Tract00Ply_52,,,,,0,0
64,7.01,7.1,0.2259,19455.51129,4395,2000 Tract 7.01,2915,300,0.06825,4095,0.93174,-183,-151,-24,21,118,-160,-8,-3.997,4578,4395,-183,-0.03997,3513,147,5,250,3,12,375,1424,0.4885,7.1, ,134,483,13,24,35,61,617,2,2,0,450000,450000,0,252,1913,241018543,93454.2625,56217,0,0,254291556,67270,Tract00Ply_53,,,,,0,0
65,92.01,92.1,0.24604,5612.90847,1381,2000 Tract 92.01,521,223,0.16147,1158,0.83852,-370,-401,28,11,15,7,16,-21.131,1751,1381,-370,-0.2113,263,992,2,19,0,2,73,218,0.41842,92.1, ,28,63,10,19,51,57,91,0,0,0,0,0,0,37,256,17433456,33143.4525,27989.5,0,0,15443184,32588,Tract00Ply_54,,,,,0,0
