OBJECTID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,DCGIS_TRACT00PLY_AREA,DCGIS_TRACT00PLY_LEN,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
90,42.02,42.2,0.08046,35906.04027,2889,2000 Tract 42.02,1908,130,0.04499,2759,0.955,283,310,-88,12,171,-40,-7,10.86,2606,2889,283,0.10859,2025,207,4,273,2,13,272,522,0.27358,42.2, ,65,207,2,26,11,30,272,0,0,0,0,0,0,317,1250,110531149,73983.3661,50004.5,0,0,113191844,62772.5,Tract00Ply_111,,,,,0,0
91,86,86,0.27304,325.95957,89,2000 Tract 86,12,6,0.06741,83,0.93258,-68,10,-76,1,0,-4,-3,-43.312,157,89,-68,-0.43312,13,70,1,0,0,0,5,10,0.83333,86, ,0,1,1,0,2,7,1,0,0,0,0,0,0,1,0,350457,31859.7273,20430,0,0,,,Tract00Ply_120,,,,,0,0
92,78.06,78.6,0.27508,7754.1079,2133,2000 Tract 78.06,900,523,0.24519,1610,0.7548,-252,-8,-241,7,2,1,4,-10.566,2385,2133,-252,-0.10566,8,2087,7,4,0,1,13,425,0.47222,78.6, ,70,129,32,35,118,126,199,2,2,0,146150,146150,0,67,323,25529972,30759.0024,25798.5,0,0,22863705,27918,Tract00Ply_121,,,,,0,0
93,53.02,53.2,0.11225,1559.02004,175,2000 Tract 53.02,123,2,0.01142,173,0.98857,-9,2,-11,3,4,13,1,-4.891,184,175,-9,-0.04891,130,7,0,8,0,0,23,81,0.65853,53.2, ,2,19,0,2,0,1,21,82,0,82,16098043,0,16098043,20,79,41256035,238474.1908,61414,0,0,43296410,60401.5,Tract00Ply_122,,,,,0,0
94,62.01,62.1,0.33302,432.40646,144,2000 Tract 62.01,94,2,0.01388,142,0.98611,93,87,7,1,-1,-2,0,182.353,51,144,93,1.82353,135,7,0,0,0,0,1,84,0.89361,62.1, ,2,30,0,2,0,0,32,93,93,0,10000000,10000000,0,13,47,12664031,119471.9906,98691.5,0,0,13375338,122725,Tract00Ply_123,,,,,0,0
95,68.02,68.2,0.10914,18929.81492,2066,2000 Tract 68.02,855,407,0.19699,1659,0.803,-288,-42,-240,22,-3,-5,9,-12.234,2354,2066,-288,-0.12234,241,1746,7,9,5,1,28,550,0.64327,68.2, ,69,121,9,35,90,128,190,0,0,0,0,0,0,94,309,47867741,51526.0936,39301,0,0,46798010,46309,Tract00Ply_124,,,,,0,0
96,48.01,48.1,0.12247,15318.03707,1876,2000 Tract 48.01,859,342,0.1823,1534,0.81769,-279,86,-449,21,44,94,70,-12.947,2155,1876,-279,-0.12946,161,1427,6,74,0,0,176,337,0.39231,48.1, ,50,78,19,39,69,77,128,0,0,0,0,0,0,111,416,38497267,47352.1119,34939,0,0,36510408,40955,Tract00Ply_112,,,,,0,0
97,46,46,0.1688,17754.73934,2997,2000 Tract 46,1081,805,0.2686,2192,0.73139,-626,-65,-602,17,28,5,54,-17.278,3623,2997,-626,-0.17278,76,2688,14,39,1,3,144,494,0.45698,46, ,77,95,27,43,179,181,172,0,0,0,0,0,0,108,371,42335170,37038.6439,28020,0,0,40189671,33100.5,Tract00Ply_113,,,,,0,0
98,55,55,0.24432,19220.69417,4696,2000 Tract 55,3273,142,0.03023,4554,0.96976,623,363,87,22,239,41,52,15.296,4073,4696,623,0.15295,3531,377,15,386,1,15,271,1102,0.33669,55.1,Tracts Combined,74,343,8,18,10,37,417,0,0,0,0,0,0,464,2319,233932343,100142.2701,58711.5,0,0,246144892,73143,Tract00Ply_114,,,,,0,0
99,53.01,53.1,0.11058,45623.07831,5045,2000 Tract 53.01,3692,161,0.03191,4884,0.96808,-42,379,-195,54,120,-467,-198,-0.826,5087,5045,-42,-0.00825,3696,338,13,343,2,26,505,1229,0.33288,53.1, ,68,279,12,26,15,31,347,0,0,0,0,0,0,568,2693,213498575,76331.2746,53643,0,0,212339927,65676,Tract00Ply_115,,,,,0,0
